,GSID,Project Name,Project Developer Name,Status,Sustainable Development Goals,Project Type,Country,Description,Estimated Annual Credits,Methodology,Size,Programme of Activities,POA GSID,CORSIA
0,12116,GS7591 VPA 52 Northern Nigeria: Clean Cooking in Plateau State,CO2balance UK ltd,Listed,"13,5,3,7",Energy Efficiency - Domestic,Nigeria,Provision of improved biomass cookstoves across Plateau State,60000,GS TPDDTEC v3.1,Small Scale,VPA,7591.0,0
1,12058,3MW Biomass Co-generation by M/s. NPS Sugar Industries Pvt. Ltd.,EKI Energy Services Limited,Listed,"13,7,8","Biomass, or Liquid Biofuel - Cogeneration",India,"The proposed project activity is promoted by NPS sugar Industries Pvt. Ltd., who are in the setting up a Biomass plant. The project activity entails installation of a new renewable biomass (Cane Bagasse) based cogeneration unit consisting of a 40 TPH boiler and a 3 MW turbo-alternator, set to cater to the demand of the sugar plant. The plant is expected to generate about 129,600 MT of steam and 9.7 GWh electricity per annum. In the absence of the project activity, equivalent amount of power and steam would have been sourced from more carbon intensive sources. The project activity thus reduces _____ tCO2e/annum greenhouse gas emissions (GHG) by avoiding fossil fuel combustion for steam and power generation. ",37108,AMS-I.C. Thermal energy production with or without electricity,Small Scale,Standalone,,0
2,12067,GS12066 - MicroEnergy Credits – Microfinance for Clean Cooking Product Lines - India - Clean Cooking Project - VPA01,MicroEnergy Credits,Listed,"13,5,3,7,8,1",Energy Efficiency - Domestic,India,"The purpose of the project is to provide end-users with Induction Cookstoves (IC) with the aim to reduce greenhouse gas (GHG) emissions from the burning of non-renewable woody biomass used for cooking. Similarly, the project envisages benefitting household members, especially women, by reducing the exposure to the indoor air pollution, reduced health expenses and reduced drudgery towards collection / purchase of firewood and its use in cookstoves for cooking. This project will be developed under the Gold Standard which will ensure that enhanced local socio-economic benefits, as well as verifiable emission reductions, are achieved. ",30000,Methodology for Metered & Measured Energy Cooking Devices,Large Scale,VPA,12066.0,0
3,12066,MicroEnergy Credits – Microfinance for Clean Cooking Product Lines - India,MicroEnergy Credits,Listed,"13,5,3,7,8,1",Energy Efficiency - Domestic,India,"The purpose of the programme is to provide end-users with Induction Cookstoves (IC) with the aim to reduce greenhouse gas (GHG) emissions from the burning of non-renewable woody biomass used for cooking. Similarly, the project envisages benefitting household members, especially women, by reducing the exposure to the indoor air pollution, reduced health expenses and reduced drudgery towards collection / purchase of firewood and its use in cookstoves for cooking. This project will be developed under the Gold Standard which will ensure that enhanced local socio-economic benefits, as well as verifiable emission reductions, are achieved. ",52000,Methodology for Metered & Measured Energy Cooking Devices,Large Scale,POA,,0
4,11996,Small-scale solar electrical programme South Africa – CPA-002,BLUE WORLD CARBON ASSET MANAGEMENT (PTY) LTD,Listed,13,Other,South Africa,The CPA comprises the group of the independent activities (32 sites with solar electrical systems with the total Wp capacity of 14.51703 MW) that uses photovoltaic (PV) technology which enables to convert solar radiation into electrical energy. All activities included into CPA-002 envisage the installation of a rooftop solar system ,0,AMS-I.F. Renewable electricity generation for captive use and mini-grid,Small Scale,VPA,11949.0,0
5,11949,Small-scale solar electrical programme South Africa,BLUE WORLD CARBON ASSET MANAGEMENT (PTY) LTD,Listed,"13,9,14,7,8,12",Other,South Africa,"The objective of this programme is to boost the use of renewable energy (solar PV) by domestic consumers and private companies of the South Africa.

Participation in this programme enables the solar electrical system owners to discount the purchased price of the solar electrical system or get an annual income in the form of rebate in exchange for cession of their rights to claim greenhouse gas (GHG) emission reductions to the coordinating entity of this PoA . The owners of large installation are also given an option to sell carbon credits generated to an independent buyer.

The coordinating entity of this PoA is Blue World Carbon Asset Management (Pty) Ltd  (BWC).",250000,AMS-I.D. Grid connected renewable electricity generation,Small Scale,POA,,0
6,12090,Access to safe drinking water project in Senegal,Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.,Listed,"13,6,7,8",Energy Efficiency - Domestic,Senegal,"The project involves introduction of water purifiers as a way to provide safe drinking water for households in Senegal. The water purifiers of the project will offer an affordable, long-term and zero emission solution for households that generally consume unsafe drinking water. The water purifiers in this project are sold at a low market price, in order to keep the project running normally. A whole set of the alternative Activated Carbon Cartridge and Activated Carbon Silver Ion Ag+ Cartridge plus UF membrane filter will be supplied to the end-users together with the water purifiers. It will not only dramatically increase access to safe drinking water but also reduce consumption for woody fuels previously required to treat drinking water, which will decrease environmental degradation and greenhouse gas emissions.",225897,GS Methodology for emission reductions from safe drinking water supply,Large Scale,Standalone,,0
7,12111,Household water purifier project in Laos,Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.,Listed,"13,6,7,8",Energy Efficiency - Domestic,Lao People's Democratic Republic,"The project involves introduction of three-stage water purifier products to provide safe drinking water for households in Laos. The water purifiers of the project will offer an affordable, long-term and zero emission solution for households that generally consume unsafe drinking water. It will not only dramatically increase access to safe drinking water but also reduce consumption for woody fuels previously required to treat drinking water, which will decrease environmental degradation and greenhouse gas emissions.",174083,GS Methodology for emission reductions from safe drinking water supply,Large Scale,Standalone,,0
8,12161,Fair Climate Programme for Sustainable Household Energy (PoA) - Fair Climate Programme: Bachat project - Odisha India (VPA 2),FairClimateFund,Listed,"13,5,3,7",Energy Efficiency - Domestic,India,"The proposed VPA involves the distribution of approx. 2,200 improved cook stoves (ICS) to marginalized households in rural Odisha (Kandhamal and Kalahandi districts) at subsidized prices. These ICS are distributed under a voluntary scheme where users freely decide on participation. ICS may comprise different technologies, including single burners and dual burners with and without chimney. All the deployed cookstoves will have an energy efficiency of more than 20%. In the baseline scenario, the target households are dependent on traditional wood stoves for cooking. The use of firewood for daily cooking is not only one of the causes of deforestation but also indoor air pollution affecting directly or indirectly the health the women and children. There is also a marginal use of LPG in some households, due to the subsidy offered by the Indian government which does enable access to LPG but not continued usage. A detailed survey was conducted in the phase I of BACHAT project, which reflects that most of the households were primarily dependent on firewood and using traditional three stone or in efficient cooking technology.",1000,GS MS Simplified Methodology for Efficient Cookstoves v1.,Micro scale,VPA,11242.0,0
9,12046,Clean Cooking and Safe Water PoA in India by EcoAct,EcoAct,Listed,"13,6,5,3,7,8,1",Energy Efficiency - Domestic,India,"EcoAct’s Clean Cooking and Safe Water Gold Standard Programme of Activities (PoA) for India will provide rural and semi-urban households, communities and institutions with lifesaving clean cooking and safe water technologies. The distribution of improved cookstoves and the deployment of safe water technologies will enhance living conditions of local communities and reduce GHG emissions related to the use of biomass for cooking and water boiling.   
The PoA will be implemented in various states across India.  Our objective is to cover more territories to benefit millions of people across the country. 
The Programme of Activities (PoA) will be certified by the Gold Standard, the most renowned carbon standard for community-based projects. It will last for 20 years.
All projects that will be developed will be registered under this PoA. They will be registered as Voluntary Project Activities (VPA) following the required Gold Standard methodology. These projects will generate carbon credits by avoiding the release of tons of CO2 in the atmosphere. Savings of non-renewable biomass will reduce deforestation rates and contribute to improving health conditions of vulnerable populations. 
The generation of carbon credits will contribute to improvement of the existing technologies and financing. 
This program will actively contribute to various UN Sustainable Development Goals (SDGs). EcoAct’s contribution will be verified under the Global Goals Safeguarding Principles & Requirements of the GS. 

",300000,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,Large Scale,POA,,0
