,Project ID,Project Name,Project Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,Method,Type,SDG,CCB,No Additional Cert
6,2834,"Mangrove Restoration Project with Sine Saloum and Casamance communities, Senegal",WeForest ASBL,Agriculture Forestry and Other Land Use,ARR; WRC,AR-AM0014,Under validation,Senegal,95470,Africa,,2020-07-10,2050-07-09,Blue Carbon,AFOLU,0,0,1
9,2088,Mangrove Restoration and Sustainable Development in Myanmar,Worldview International Foundation,Agriculture Forestry and Other Land Use,ARR; WRC,AR-AM0014,Registration requested,Myanmar,403831,Asia,,2020-09-01,2040-08-31,Blue Carbon,AFOLU,0,0,1
11,1764,"Reforestation and Restoration of degraded mangrove lands, sustainable livelihood and community development in Myanmar",Worldview International Foundation,Agriculture Forestry and Other Land Use,ARR; WRC,AR-AM0014,Registered,Myanmar,184006,Asia,2017-06-26,2015-06-15,2035-06-14,Blue Carbon,AFOLU,0,0,1
33,3815,BOUTILI AFFORESTATION & AGROFORESTRY PROJECT,CENTRAFOREST,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,Central African Republic,5825,,,2020-06-01,2050-05-31,ARR,AFOLU,0,0,1
54,3602,Udzungwa Corridor Reforestation,Udzungwa Corridor Limited,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration requested,Tanzania,178047,Africa,,2022-02-03,2052-02-02,ARR,AFOLU,0,0,1
92,3429,Restoration and Conservation of Dry Afromontane Forest in the Highlands of Eastern Tigray,WeForest ASBL,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,Ethiopia,94936,Asia,,2018-01-01,2067-12-31,ARR,AFOLU,0,0,1
95,3396,PlanTogo,Sequoia Plantation Togo,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,Togo,1508829,Africa,,2021-06-01,2041-05-31,ARR,AFOLU,0,0,1
104,3333,Restoration of degraded mangroves as a climate change mitigation and adaptation strategy in Asia CPA 1,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-AM0014,Under validation,Myanmar,322622,Asia,,2019-02-13,2039-02-12,ARR,AFOLU,0,0,1
110,3223,CONSERVATION AND RESTORATION OF THE MANGROVE ECOSYSTEM IN THE GAMBIA THROUGH THE REDD+ MECHANISM,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR; IFM; REDD; WRC,VM0007,Under development,Gambia,300000,Africa,,2022-08-01,2122-07-31,ARR,AFOLU,0,0,1
119,3142,Blue Forest & Mozambique: Building Africa’s Largest Mangrove Restoration Project,Blue Forest,Agriculture Forestry and Other Land Use,ARR; REDD,VM0007,Under development,Mozambique,2965555,Africa,,,,ARR,AFOLU,0,0,1
122,3072,Rwanda Riparian Restoration Project,EcoPlanet Bamboo Group,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration requested,Rwanda,51964,Africa,,2022-10-01,2042-09-30,ARR,AFOLU,0,0,1
128,2971,OKA 2 PROJECT,Acacia Batéké Capital,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration requested,Congo,19976,Africa,,2020-08-01,2053-07-31,ARR,AFOLU,0,0,1
130,2965,Niger Acacia Senegal Plantation Project - CER Conversion,Converted from other GHG program,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Units Transferred from Approved GHG Program,Niger,24957,Africa,,2005-12-21,2035-12-20,ARR,AFOLU,0,0,1
