,Project ID,Vintage,Retirement Year,Issued,Retired
0,562,2005,2011,162219,0.0
1,562,2006,2011,190864,0.0
2,562,2007,2011,199432,0.0
3,562,2008,2011,200328,0.0
4,562,2009,2011,201095,0.0
5,562,2010,2011,197482,0.0
6,562,2011,2012,212895,0.0
7,562,2012,2015,111700,0.0
8,562,2012,2017,46502,0.0
9,562,2012,2018,50000,0.0
10,562,2013,2016,85000,0.0
11,562,2013,2017,122446,0.0
12,562,2014,2017,218260,0.0
13,562,2015,2018,10972,0.0
14,562,2015,2019,280000,0.0
15,562,2016,2019,283528,0.0
16,562,2016,2020,92128,0.0
17,562,2017,2018,5000,0.0
18,562,2017,2019,29000,0.0
19,562,2017,2020,157264,0.0
20,562,2018,2020,207335,0.0
21,562,2019,2020,20977,0.0
22,562,2019,2021,199900,0.0
23,562,2020,2021,278584,0.0
24,562,2021,2022,235288,0.0
25,595,2010,2011,7955,0.0
26,595,2015,2016,23206,0.0
27,595,2020,2021,6086,0.0
28,596,2010,2011,18846,0.0
29,596,2015,2017,19534,0.0
30,596,2020,2021,29908,0.0
31,597,2010,2011,6425,0.0
32,597,2015,2018,20419,0.0
33,597,2020,2021,3731,0.0
34,607,2008,2011,244007,0.0
35,607,2009,2011,256207,0.0
36,607,2010,2011,348802,0.0
37,607,2011,2018,4000,0.0
38,607,2011,2020,341246,0.0
39,607,2012,2017,130000,0.0
40,607,2012,2018,10000,0.0
41,607,2012,2019,198237,0.0
42,607,2013,2018,10000,0.0
43,607,2013,2020,100000,0.0
44,607,2013,2021,176793,0.0
45,607,2014,2021,317035,0.0
46,607,2015,2019,250000,0.0
47,607,2015,2020,34577,0.0
48,607,2016,2018,175381,0.0
49,607,2016,2019,50000,0.0
50,607,2016,2020,150830,0.0
51,607,2017,2020,81419,0.0
52,607,2017,2022,100000,0.0
53,607,2018,2020,160024,0.0
54,607,2019,2020,217816,0.0
55,673,2011,2011,372381,0.0
56,673,2014,2015,61000,0.0
57,673,2014,2016,111915,0.0
58,673,2014,2019,100,0.0
59,673,2017,2017,183000,0.0
60,673,2017,2018,20000,0.0
61,673,2017,2019,26902,0.0
62,673,2020,2021,199544,0.0
63,737,2011,2011,61772,0.0
64,737,2016,2018,10000,0.0
65,737,2016,2019,342405,0.0
66,737,2016,2020,128212,0.0
67,737,2016,2021,18714,0.0
68,737,2017,2021,128875,0.0
69,737,2018,2021,128875,0.0
70,737,2019,2021,128875,0.0
71,737,2020,2021,50139,0.0
72,824,2011,2012,56064,0.0
73,824,2013,2015,50715,0.0
74,824,2019,2020,138235,0.0
75,825,2011,2012,14989,0.0
76,825,2013,2015,11265,0.0
77,825,2019,2020,69023,0.0
78,826,2011,2012,9206,0.0
79,826,2013,2015,11355,0.0
80,826,2019,2021,5258,0.0
81,827,2011,2012,35047,0.0
82,827,2013,2015,10988,0.0
83,827,2019,2021,34503,0.0
84,899,2012,2012,169784,0.0
85,899,2013,2014,77070,0.0
86,899,2013,2015,61732,0.0
87,899,2021,2021,677799,0.0
88,944,2012,2012,433677,0.0
89,944,2012,2013,56940,0.0
90,944,2012,2014,474221,0.0
91,944,2012,2015,31397,0.0
92,944,2012,2016,15248,0.0
93,944,2012,2017,438639,0.0
94,944,2012,2018,376950,0.0
95,944,2012,2019,501450,0.0
96,944,2012,2020,13547,0.0
97,944,2012,2021,500780,0.0
98,944,2014,2017,457500,0.0
99,944,2014,2018,55000,0.0
100,944,2014,2019,30000,0.0
101,944,2014,2020,10000,0.0
102,944,2014,2021,110000,0.0
103,944,2016,2018,614000,0.0
104,944,2016,2019,311374,0.0
105,944,2016,2020,67531,0.0
106,944,2016,2021,234865,0.0
107,944,2018,2019,200058,0.0
108,944,2018,2020,190741,0.0
109,944,2018,2021,157595,0.0
110,944,2018,2023,343551,0.0
111,944,2020,2021,800,0.0
112,944,2020,2023,473544,0.0
113,953,2012,2013,7601,0.0
114,953,2013,2016,11706,0.0
115,953,2014,2022,13377,0.0
116,953,2015,2022,13758,0.0
117,953,2016,2022,14138,0.0
118,953,2017,2022,14519,0.0
119,953,2018,2022,14899,0.0
120,958,2015,2016,146032,0.0
121,958,2016,2021,72238,0.0
122,958,2017,2021,84126,0.0
123,958,2018,2021,87268,0.0
124,958,2019,2021,87674,0.0
125,958,2020,2021,89505,0.0
126,958,2020,2023,9447,0.0
127,993,2012,2013,50696,0.0
128,993,2017,2018,55000,0.0
129,993,2017,2019,96173,0.0
130,993,2017,2020,312943,0.0
131,993,2019,2020,50000,0.0
132,993,2019,2021,61073,0.0
133,994,2012,2013,15265,0.0
134,994,2017,2018,1000,0.0
135,994,2017,2019,36000,0.0
136,994,2017,2020,56207,0.0
137,994,2021,2021,98536,0.0
138,995,2012,2013,28579,0.0
139,995,2017,2017,86841,0.0
140,995,2019,2021,43372,0.0
141,996,2012,2013,64921,0.0
142,996,2015,2017,55000,0.0
143,996,2015,2018,60398,0.0
144,996,2020,2021,119453,0.0
145,1340,2012,2019,460000,0.0
146,1340,2012,2020,773546,0.0
147,1340,2013,2020,1193723,0.0
148,1340,2014,2020,1155842,0.0
149,1340,2015,2020,419095,0.0
150,1340,2015,2021,700305,0.0
151,1340,2019,2021,4438780,0.0
152,1390,2014,2019,176470,0.0
153,1390,2015,2019,170440,0.0
154,1390,2016,2019,7321,0.0
155,1390,2016,2021,161721,0.0
156,1390,2017,2021,165613,0.0
157,1395,2013,2019,133849,0.0
158,1395,2014,2019,391266,0.0
159,1395,2015,2019,366210,0.0
160,1395,2016,2019,15796,0.0
161,1395,2016,2021,348919,0.0
162,1395,2017,2021,364162,0.0
163,1399,2013,2019,57042,0.0
164,1399,2014,2019,88793,0.0
165,1399,2015,2019,93127,0.0
166,1399,2016,2019,4330,0.0
167,1399,2016,2021,95672,0.0
168,1399,2017,2021,104646,0.0
169,1408,2013,2017,19800,0.0
170,1408,2013,2019,134615,0.0
171,1408,2013,2020,19573,0.0
172,1408,2013,2021,2500,0.0
173,1408,2014,2019,220313,0.0
174,1408,2014,2020,399091,0.0
175,1408,2015,2020,63450,0.0
176,1408,2015,2021,555954,0.0
177,1408,2016,2019,22053,0.0
178,1408,2016,2020,26927,0.0
179,1408,2016,2021,452100,0.0
180,1408,2016,2022,116627,0.0
181,1408,2017,2022,266453,0.0
182,1408,2017,2023,565000,0.0
183,1408,2018,2022,17047,0.0
184,1408,2018,2023,783819,270.0
185,1408,2019,2023,770389,0.0
186,1408,2020,2022,150000,0.0
187,1408,2020,2023,586986,0.0
188,1468,2016,2021,2599040,0.0
189,1468,2016,2022,611539,0.0
190,1468,2020,2022,611978,0.0
191,1468,2020,2023,776403,0.0
192,1503,2013,2016,166735,0.0
193,1503,2013,2017,143929,0.0
194,1503,2014,2017,343742,0.0
195,1503,2014,2018,110644,0.0
196,1503,2015,2018,109803,0.0
197,1503,2015,2019,336673,0.0
198,1503,2020,2022,37951,0.0
199,1503,2020,2023,113850,0.0
200,1530,2011,2022,2790,0.0
201,1530,2012,2022,13223,0.0
202,1530,2013,2022,18945,0.0
203,1530,2013,2023,4007,0.0
204,1530,2014,2022,25051,0.0
205,1530,2014,2023,8175,0.0
206,1530,2015,2022,27931,0.0
207,1530,2015,2023,4880,0.0
208,1530,2016,2022,31642,0.0
209,1530,2016,2023,6237,0.0
210,1530,2017,2022,49206,0.0
211,1530,2018,2022,44296,0.0
212,1530,2018,2023,4910,0.0
213,1530,2019,2022,32883,0.0
214,1530,2019,2023,2057,0.0
215,1530,2020,2022,14603,0.0
216,1530,2020,2023,1631,448.0
217,1541,2012,2017,50000,0.0
218,1541,2012,2019,49564,0.0
219,1541,2013,2019,153260,0.0
220,1541,2014,2017,61000,0.0
221,1541,2014,2019,56158,0.0
222,1541,2014,2022,240,0.0
223,1541,2014,2023,46189,0.0
224,1541,2015,2022,1500,0.0
225,1541,2015,2023,271676,0.0
226,1541,2016,2023,284814,0.0
227,1541,2017,2023,222463,0.0
228,1541,2018,2023,373456,0.0
229,1689,2015,2021,129082,0.0
230,1689,2016,2021,129082,0.0
231,1689,2017,2021,129082,0.0
232,1689,2018,2021,129082,0.0
233,1689,2019,2021,129082,0.0
234,1769,2015,2022,128,0.0
235,1769,2016,2022,1064,0.0
236,1769,2017,2021,3341,0.0
237,1769,2017,2022,550,0.0
238,1769,2018,2022,4910,0.0
239,1769,2019,2022,901,0.0
240,1855,2018,2020,326643,0.0
241,1855,2019,2022,138976,0.0
242,1855,2020,2022,199672,0.0
243,1855,2021,2022,239388,0.0
244,1864,2020,2020,170715,0.0
245,1882,2013,2020,6642,0.0
246,1882,2014,2020,18218,0.0
247,1882,2014,2021,20057,0.0
248,1882,2014,2022,5545,0.0
249,1882,2014,2023,1273,1273.0
250,1882,2015,2020,34366,0.0
251,1882,2016,2020,30348,0.0
252,1882,2016,2021,9500,0.0
253,1882,2016,2022,4714,0.0
254,1882,2017,2020,28143,0.0
255,1882,2017,2021,20000,0.0
256,1882,2018,2020,24399,0.0
257,1882,2018,2021,20000,0.0
258,1882,2019,2022,46356,0.0
259,1882,2020,2022,46111,0.0
260,2338,2020,2021,22104,0.0
261,2339,2020,2021,155813,0.0
262,2343,2020,2021,5880,0.0
263,2370,2016,2021,15103,0.0
264,2370,2017,2021,35940,0.0
265,2370,2018,2021,40265,0.0
266,2370,2019,2021,45579,0.0
267,2370,2020,2021,45579,0.0
268,2379,2016,2022,36026,0.0
269,2379,2017,2022,81482,0.0
270,2379,2018,2022,141852,0.0
271,2379,2019,2022,221828,0.0
272,2379,2020,2022,329579,0.0
273,2387,2016,2022,18708,0.0
274,2387,2017,2022,36301,0.0
275,2387,2018,2022,56309,0.0
276,2387,2019,2022,65018,0.0
277,2387,2020,2022,116129,0.0
278,2391,2016,2022,2596,0.0
279,2391,2017,2022,21845,0.0
280,2391,2018,2022,30355,0.0
281,2391,2019,2022,31820,0.0
282,2391,2020,2022,22911,0.0
283,2405,2016,2021,17101,0.0
284,2405,2017,2021,61800,0.0
285,2405,2018,2021,61800,0.0
286,2405,2019,2021,61800,0.0
287,2405,2020,2021,46057,0.0
288,2418,2016,2021,1721,0.0
289,2418,2017,2021,12714,0.0
290,2418,2018,2021,17281,0.0
291,2418,2019,2021,17281,0.0
292,2418,2020,2021,14343,0.0
293,2451,2016,2022,9442,0.0
294,2451,2017,2022,37056,0.0
295,2451,2018,2022,37056,0.0
296,2451,2019,2022,37056,0.0
297,2451,2020,2022,36449,0.0
298,2458,2016,2022,301364,0.0
299,2458,2017,2022,575362,0.0
300,2458,2018,2022,558583,0.0
301,2458,2019,2022,578140,0.0
302,2458,2020,2022,300000,0.0
303,2458,2020,2023,279723,0.0
