,Vintage,Issued,Retired,Balance
0,2003,1188,0.0,1188.0
1,2004,29473,1425.0,28048.0
2,2005,191692,163644.0,28048.0
3,2006,220337,192289.0,28048.0
4,2007,228905,200938.0,27967.0
5,2008,229801,201939.0,27862.0
6,2009,255446,225232.0,30214.0
7,2010,358883,316768.0,42115.0
8,2011,1278533,1181733.0,96800.0
9,2012,5257625,4328103.0,929522.0
10,2013,3118582,2945708.0,172874.0
11,2014,5579534,4944126.0,635408.0
12,2015,4431523,3545351.0,886172.0
13,2016,5445024,4252358.0,1192666.0
14,2017,6228671,3738560.0,2490111.0
15,2018,7736392,5005489.0,2730903.0
16,2019,11054111,7006110.0,4048001.0
17,2020,8052090,4323176.0,3728914.0
18,2021,3633063,1201395.0,2431668.0
19,2022,348450,0.0,348450.0
20,2023,190633,0.0,190633.0
