,Year_Mth,Quantity,Vintage
0,09_02,2,2008.0
1,09_03,15639,2007.0
2,09_04,40795,2008.0
3,09_05,23856,2007.0
4,09_06,286855,2008.0
5,09_07,62448,2008.0
6,09_08,42658,2008.0
7,09_09,52878,2007.0
8,09_10,87303,2007.0
9,09_11,114736,2006.0
10,09_12,1104841,2008.0
11,10_01,16653,2007.0
12,10_02,112556,2008.0
13,10_03,164902,2007.0
14,10_04,171671,2008.0
15,10_05,106376,2007.0
16,10_06,550989,2008.0
17,10_07,305252,2008.0
18,10_08,129476,2006.0
19,10_09,305965,2007.0
20,10_10,470776,2008.0
21,10_11,686814,2008.0
22,10_12,1331348,2008.0
23,11_01,408322,2009.0
24,11_02,356240,2007.0
25,11_03,363917,2008.0
26,11_04,1300178,2007.0
27,11_05,399363,2008.0
28,11_06,687028,2008.0
29,11_07,576867,2008.0
30,11_08,244739,2007.0
31,11_09,223555,2009.0
32,11_10,677784,2007.0
33,11_11,1276323,2009.0
34,11_12,1573844,2008.0
35,12_01,859429,2008.0
36,12_02,278876,2008.0
37,12_03,394423,2009.0
38,12_04,2025272,2007.0
39,12_05,2474674,2009.0
40,12_06,3202076,2008.0
41,12_07,484273,2009.0
42,12_08,1175510,2008.0
43,12_09,556321,2009.0
44,12_10,648647,2009.0
45,12_11,647683,2009.0
46,12_12,1766277,2010.0
47,13_01,1126095,2009.0
48,13_02,529571,2009.0
49,13_03,1987224,2010.0
50,13_04,4055022,2008.0
51,13_05,2391270,2009.0
52,13_06,2409655,2011.0
53,13_07,1497002,2009.0
54,13_08,432142,2010.0
55,13_09,1459731,2011.0
56,13_10,1031356,2009.0
57,13_11,5780352,2008.0
58,13_12,1296104,2010.0
59,14_01,5197738,2010.0
60,14_02,1155634,2010.0
61,14_03,906884,2009.0
62,14_04,1472182,2010.0
63,14_05,924392,2010.0
64,14_06,3435209,2010.0
65,14_07,2637937,2012.0
66,14_08,434335,2010.0
67,14_09,512666,2009.0
68,14_10,1457009,2010.0
69,14_11,473196,2011.0
70,14_12,3483058,2010.0
71,15_01,2123525,2010.0
72,15_02,2240924,2010.0
73,15_03,2346820,2011.0
74,15_04,1910675,2010.0
75,15_05,1519006,2010.0
76,15_06,4996290,2009.0
77,15_07,2802333,2009.0
78,15_08,2072479,2013.0
79,15_09,2152819,2011.0
80,15_10,1035015,2012.0
81,15_11,1310006,2012.0
82,15_12,1951927,2011.0
83,16_01,2842913,2011.0
84,16_02,1656977,2011.0
85,16_03,2445649,2011.0
86,16_04,1444446,2012.0
87,16_05,1443544,2011.0
88,16_06,903062,2011.0
89,16_07,1560708,2012.0
90,16_08,753429,2011.0
91,16_09,1161781,2012.0
92,16_10,1627048,2012.0
93,16_11,768851,2011.0
94,16_12,4095006,2010.0
95,17_01,1431910,2013.0
96,17_02,1081874,2010.0
97,17_03,3964106,2011.0
98,17_04,1797555,2012.0
99,17_05,740853,2012.0
100,17_06,2461544,2012.0
101,17_07,1055539,2013.0
102,17_08,3025537,2011.0
103,17_09,1786423,2011.0
104,17_10,3352775,2012.0
105,17_11,2862377,2013.0
106,17_12,6047428,2013.0
107,18_01,4166366,2012.0
108,18_02,3682924,2013.0
109,18_03,2462458,2013.0
110,18_04,2316817,2013.0
111,18_05,2867741,2013.0
112,18_06,2484056,2014.0
113,18_07,2022622,2014.0
114,18_08,4680358,2012.0
115,18_09,3638068,2014.0
116,18_10,3548189,2013.0
117,18_11,2098350,2012.0
118,18_12,2733089,2013.0
119,19_01,3233634,2012.0
120,19_02,2155278,2014.0
121,19_03,2336930,2014.0
122,19_04,3843800,2015.0
123,19_05,7279280,2016.0
124,19_06,5589343,2014.0
125,19_07,1903617,2013.0
126,19_08,3220935,2015.0
127,19_09,4324065,2015.0
128,19_10,3963796,2014.0
129,19_11,3901120,2014.0
130,19_12,9510900,2015.0
131,20_01,5071843,2016.0
132,20_02,5447990,2014.0
133,20_03,3787313,2014.0
134,20_04,5308091,2013.0
135,20_05,3485854,2014.0
136,20_06,10629735,2015.0
137,20_07,4373826,2014.0
138,20_08,3378375,2015.0
139,20_09,2834680,2015.0
140,20_10,4859664,2016.0
141,20_11,8818245,2015.0
142,20_12,10918638,2015.0
143,21_01,7889788,2015.0
144,21_02,9741190,2015.0
145,21_03,13827711,2014.0
146,21_04,4861721,2016.0
147,21_05,10689269,2016.0
148,21_06,9204066,2015.0
149,21_07,7682151,2015.0
150,21_08,8832178,2017.0
151,21_09,9861979,2015.0
152,21_10,16778827,2014.0
153,21_11,9373835,2014.0
154,21_12,20905100,2015.0
155,22_01,11390615,2014.0
156,22_02,11936768,2015.0
157,22_03,11605384,2016.0
158,22_04,6338986,2016.0
159,22_05,6955531,2016.0
160,22_06,8547575,2016.0
161,22_07,8572913,2016.0
162,22_08,9398094,2017.0
163,22_09,10204428,2017.0
164,22_10,4876172,2017.0
165,22_11,7414809,2018.0
166,22_12,17834979,2018.0
167,23_01,3877306,2016.0
168,23_02,16274360,2016.0
169,23_03,5711619,2017.0
170,n_nan,60000,2012.0
