,Project ID,Product,Country,Method,Price,Qty,Vintage
0,VCS 1522,VCS spot,Cote d'Ivoire,Hydro,6.75,99856,2021
1,VCS 1899,NGEO spot,Indonesia,ARR;WRC,12.15,25000,2019
2,VCS 934,NGEO spot,Congo,REDD,7,50000,2019
3,VCS 902,NGEO spot,Kariba,REDD,2.1,2395,2016
4,VCS 2250,NGEO spot,Delta Blue,ARR;WRC,27.5,1174,2016
5,VCS 2250,NGEO spot,Delta Blue,ARR;WRC,28,6034,2017
6,VCS 2250,NGEO spot,Delta Blue,ARR;WRC,28.5,14457,2018
7,VCS 2250,NGEO spot,Delta Blue,ARR;WRC,29.5,27861,2019
8,VCS 2250,NGEO spot,Delta Blue,ARR;WRC,30,50000,2020
9,VCS 2250,NGEO spot,Delta Blue,ARR;WRC,31,40624,2021
