,Date,ID,Name,Country,Method,Vintage,Units Issued,Issued Per Vintage
0,2023-03-09,1964,Quang Minh Solar Power Project,Viet Nam (VN),Solar,2020,3792,17156
1,2023-03-09,1975,Hong Phong 4 Solar 48 MW Project,Viet Nam (VN),Solar,2021,30000,74145
2,2023-03-09,1974,Srepok 1 Solar Power Project,Viet Nam (VN),Solar,2021,5975,56025
3,2023-03-09,411,Chorchaiwat Wastewater Treatment and Biogas Utilization Project,Thailand (TH),Waste,2021,9099,11324
4,2023-03-09,411,Chorchaiwat Wastewater Treatment and Biogas Utilization Project,Thailand (TH),Waste,2016,2109,22325
5,2023-03-09,487,"210 MW Musi Hydro Power Plant, Bengkulu",Indonesia (ID),Hydro,2017,7000,231120
6,2023-03-09,487,"210 MW Musi Hydro Power Plant, Bengkulu",Indonesia (ID),Hydro,2020,6553,958676
7,2023-03-09,487,"210 MW Musi Hydro Power Plant, Bengkulu",Indonesia (ID),Hydro,2017,11760,231120
8,2023-03-09,487,"210 MW Musi Hydro Power Plant, Bengkulu",Indonesia (ID),Hydro,2017,10712,553183
9,2023-03-09,487,"210 MW Musi Hydro Power Plant, Bengkulu",Indonesia (ID),Hydro,2018,24000,803211
10,2023-03-09,2532,Cumare carbon project,Colombia (CO),ARR,2020,119865,144865
11,2023-03-09,2532,Cumare carbon project,Colombia (CO),ARR,2019,141735,185865
