,Project ID,Project Name,Project Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,Additional Issuance Certifications
0,4261,Aksaray Landfill Gas Power Plant Project,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Under validation,Turkey,29019,Middle East,,2021-12-03,2028-12-02,
1,4263,Sepoti REDD Project,Future Carbon Holding S.A.,Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,Brazil,26069,Latin America,,2022-10-22,2052-10-21,
2,4247,HISAR BIOGAS POWER PLANT,Multiple Proponents,Waste handling and disposal,,AM0073,Under validation,Turkey,250008,Middle East,,2021-06-28,2028-06-27,
3,4249,Ordu Landfill Gas to Electricity Project,Ordu Yenilenebilir Enerji Elektrik Üretim Sanayi ve Ticaret Anonim Şirketi,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Under validation,Turkey,38967,Europe,,2021-06-24,2028-06-23,
4,4250,CLEAN COOKSTOVE FOR GARO COMMUNITIES,GHE Impact Ventures Private Limited,Energy demand,,VMR0006,Under validation,India,95375,Asia,,2022-10-19,2029-10-18,
5,4248,Haishang Shaoyang Composting Project,"Shaoyang County Haishang Ecological Agriculture Technology Co., Ltd.",Waste handling and disposal,,AMS-III.F.,Under validation,China,58858,Asia,,2021-08-01,2031-07-31,
6,4251,Vega Diyarbakir Waste to Energy Project,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001; ACM0022,Under validation,Turkey,182826,Middle East,,2021-06-11,2028-06-10,
7,4245,Biogas to electricity generation group project in India,EKI Energy Services Limited,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.F.; AMS-III.D.,Under validation,India,4877,Asia,,2021-06-22,2028-06-21,
8,4241,GAZIANTEP BIOGAS POWER PLANT,Multiple Proponents,Waste handling and disposal,,AM0073,Under validation,Turkey,185910,Middle East,,2022-04-22,2029-04-21,
9,4235,Improved cropland management project in Anyang,"Harbin Ruying Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,230000,Asia,,2020-09-01,2120-08-31,
10,4237,Public Lighting in Brazil Grouped Project,Future Carbon Holding S.A.,Energy demand,,AMS-II.L.,Under validation,Brazil,47404,Latin America,,2021-08-26,2028-08-25,
11,4231,Shanxi Changzhi Sanyuan CMM Power Generation Project,"Changzhi Suburb Baoneng New Energy Development Co., Ltd",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Under validation,China,252176,Asia,,2021-06-25,2031-06-24,
12,4229,RENEW SAKHI - IMPROVED COOKSTOVES - 01,ReNew Power Synergy Private Limited,Energy demand,,VMR0006,Under validation,India,2648516,Asia,,2023-03-01,2030-02-28,
13,4230,TURK CIM BIOGAS PROJECT,Multiple Proponents,"Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AM0073,Under validation,Turkey,164456,Middle East,,2021-06-26,2028-06-25,
14,4223,D.Light's Improved Cooking Project In Kenya,"d.light design, Ltd",Energy demand,,VMR0006,Under validation,Kenya,799706,Africa,,2022-10-01,2029-09-30,
15,4226,D.Light's Improved Cooking Project In Uganda,"d.light design, Ltd",Energy demand,,VMR0006,Under validation,Uganda,462172,Africa,,2023-03-01,2030-02-28,
16,4219,IMPROVED COOKSTOVES IN LIBERIA,Carbonibus S.r.l.,Energy demand,,VMR0006,Under validation,Liberia,2058714,Africa,,2023-03-01,2030-02-28,
