Vintage,Method,Quantity of Units Issued,Quantity of Units,Remaining
2000,Fugitive Emiss.,10167,10167.0,0.0
2000,Waste,2000,2000.0,0.0
2001,Fugitive Emiss.,105484,87971.0,17513.0
2001,Hydro,122509,122509.0,0.0
2001,Other,4099,4099.0,0.0
2001,Waste,59149,59046.0,103.0
2002,ARR,7134,7134.0,0.0
2002,Fugitive Emiss.,248186,171030.0,77156.0
2002,Hydro,146865,128121.0,18744.0
2002,Other,188885,109758.0,79127.0
2002,Waste,63141,6365.0,56776.0
2003,ARR,31433,31433.0,0.0
2003,Avoided Def.,442256,433615.0,8641.0
2003,Fugitive Emiss.,139285,,
2003,Hydro,73358,73358.0,0.0
2003,Other,341163,332119.0,9044.0
2003,Waste,143711,42526.0,101185.0
2004,ARR,32274,32274.0,0.0
2004,Avoided Def.,162897,161706.0,1191.0
2004,Cookstoves,13333,13333.0,0.0
2004,Fugitive Emiss.,125847,122931.0,2916.0
2004,Hydro,385916,372646.0,13270.0
2004,Other,516382,514451.0,1931.0
2004,Waste,142920,84579.0,58341.0
2004,Wind,15146,15146.0,0.0
2005,ARR,43096,37185.0,5911.0
2005,Avoided Def.,387628,363745.0,23883.0
2005,Cookstoves,29221,29221.0,0.0
2005,Fugitive Emiss.,107074,107074.0,0.0
2005,Hydro,318005,317515.0,490.0
2005,Other,814621,710937.0,103684.0
2005,Waste,33266,33266.0,0.0
2005,Wind,156619,156619.0,0.0
2006,ARR,52239,46078.0,6161.0
2006,Avoided Def.,406102,366815.0,39287.0
2006,Construction / Manufacturing,580651,518196.0,62455.0
2006,Cookstoves,85019,85019.0,0.0
2006,Fugitive Emiss.,1161729,1108752.0,52977.0
2006,Hydro,1741878,1076587.0,665291.0
2006,LFG,155198,153498.0,1700.0
2006,Other,5513164,4550153.0,963011.0
2006,Transport,53775,53775.0,0.0
2006,Waste,304341,292287.0,12054.0
2006,Wind,1546423,1276654.0,269769.0
2007,ARR,83623,61088.0,22535.0
2007,Avoided Def.,461665,450204.0,11461.0
2007,Construction / Manufacturing,923273,839571.0,83702.0
2007,Cookstoves,8716,8716.0,0.0
2007,Fugitive Emiss.,970969,896392.0,74577.0
2007,Hydro,4586308,3626086.0,960222.0
2007,LFG,502031,500891.0,1140.0
2007,Livestock,8803,,
2007,Other,9308955,7184980.0,2123975.0
2007,Transport,36229,36229.0,0.0
2007,Waste,767476,692368.0,75108.0
2007,Wind,3507820,2823418.0,684402.0
2008,ARR,280846,265754.0,15092.0
2008,Avoided Def.,275235,274734.0,501.0
2008,Construction / Manufacturing,887821,839241.0,48580.0
2008,Cookstoves,258622,258622.0,0.0
2008,Fugitive Emiss.,591975,587923.0,4052.0
2008,Hydro,7471459,6039614.0,1431845.0
2008,IFM,323595,323595.0,0.0
2008,LFG,394833,327795.0,67038.0
2008,Livestock,9812,,
2008,Other,5981894,5098573.0,883321.0
2008,Waste,986080,827259.0,158821.0
2008,Wind,6441518,5882817.0,558701.0
2009,AFOLU Other,7616,,
2009,ARR,519581,353941.0,165640.0
2009,Avoided Def.,2855082,2697261.0,157821.0
2009,Construction / Manufacturing,836010,800562.0,35448.0
2009,Cookstoves,258631,258631.0,0.0
