Vintage,Quantity of Units Issued,Quantity of Units,Remaining
2005,162219,162219,0
2006,190864,190864,0
2007,204477,204394,83
2008,488025,486980,1045
2009,1729272,1685400,43872
2010,4152023,4139685,12338
2011,10036111,9160026,876085
2012,25965034,20753687,5211347
2013,22238664,16688797,5549867
2014,24534025,16286197,8247828
2015,47232867,32709804,14523063
2016,37746917,12867483,24879434
2017,45190724,16856828,28333896
2018,39790407,12518654,27271753
2019,37740637,11057138,26683499
2020,25919009,3387695,22531314
2021,11031526,989401,10042125
